Hidden Layers,Activation,Epochs,Learning Rate,Batch Size,Accuracy
[4],ReLU,1,10.0,128,82.92682926829268
[4],ReLU,1,10.0,256,54.146341463414636
[4],ReLU,1,10.0,512,79.02439024390245
[4],ReLU,1,1.0,16,41.951219512195124
[4],ReLU,1,1.0,32,74.63414634146342
[4],ReLU,1,1.0,64,75.60975609756098
[4],ReLU,1,1.0,128,73.65853658536585
[4],ReLU,1,1.0,256,66.82926829268293
[4],ReLU,1,1.0,512,81.95121951219512
[4],ReLU,1,0.1,16,81.46341463414635
[4],ReLU,1,0.1,32,83.41463414634147
[4],ReLU,1,0.1,64,86.34146341463415
[4],ReLU,1,0.1,128,81.46341463414635
[4],ReLU,1,0.1,256,82.4390243902439
[4],ReLU,1,0.1,512,79.51219512195122
[4],ReLU,1,0.01,16,83.90243902439025
[4],ReLU,1,0.01,32,79.51219512195122
[4],ReLU,1,0.01,64,80.0
[4],ReLU,1,0.01,128,75.1219512195122
[4],ReLU,1,0.01,256,69.26829268292683
[4],ReLU,1,0.01,512,72.6829268292683
[4],ReLU,1,0.001,16,77.5609756097561
[4],ReLU,1,0.001,32,59.02439024390244
[4],ReLU,1,0.001,64,52.68292682926829
[4],ReLU,1,0.001,128,59.02439024390244
[4],ReLU,1,0.001,256,47.80487804878049
[4],ReLU,1,0.001,512,46.34146341463415
[4],ReLU,1,0.0001,16,48.78048780487805
[4],ReLU,1,0.0001,32,48.78048780487805
[4],ReLU,1,0.0001,64,48.78048780487805
[4],ReLU,1,0.0001,128,47.31707317073171
[4],ReLU,1,0.0001,256,48.292682926829265
[4],ReLU,1,0.0001,512,46.829268292682926
[4],ReLU,10,10.0,16,67.3170731707317
[4],ReLU,10,10.0,32,51.21951219512195
[4],ReLU,10,10.0,64,66.34146341463415
[4],ReLU,10,10.0,128,64.8780487804878
[4],ReLU,10,10.0,256,66.82926829268293
[4],ReLU,10,10.0,512,60.48780487804878
[4],ReLU,10,1.0,16,72.6829268292683
[4],ReLU,10,1.0,32,70.73170731707317
[4],ReLU,10,1.0,64,68.78048780487805
[4],ReLU,10,1.0,128,83.41463414634147
[4],ReLU,10,1.0,256,70.73170731707317
[4],ReLU,10,1.0,512,77.5609756097561
[4],ReLU,10,0.1,16,83.90243902439025
[4],ReLU,10,0.1,32,86.34146341463415
[4],ReLU,10,0.1,64,88.29268292682927
[4],ReLU,10,0.1,128,87.3170731707317
[4],ReLU,10,0.1,256,86.82926829268293
[4],ReLU,10,0.1,512,86.82926829268293
[4],ReLU,10,0.01,16,85.36585365853658
[4],ReLU,10,0.01,32,85.85365853658537
[4],ReLU,10,0.01,64,85.85365853658537
[4],ReLU,10,0.01,128,84.39024390243902
[4],ReLU,10,0.01,256,79.51219512195122
[4],ReLU,10,0.01,512,80.48780487804878
[4],ReLU,10,0.001,16,84.39024390243902
[4],ReLU,10,0.001,32,78.04878048780488
[4],ReLU,10,0.001,64,76.09756097560975
[4],ReLU,10,0.001,128,64.39024390243902
[4],ReLU,10,0.001,256,51.21951219512195
[4],ReLU,10,0.001,512,57.5609756097561
[4],ReLU,10,0.0001,16,54.63414634146341
[4],ReLU,10,0.0001,32,51.21951219512195
[4],ReLU,10,0.0001,64,58.048780487804876
[4],ReLU,10,0.0001,128,58.53658536585366
[4],ReLU,10,0.0001,256,49.75609756097561
[4],ReLU,10,0.0001,512,46.34146341463415
[4],ReLU,25,10.0,16,53.65853658536585
[4],ReLU,25,10.0,32,55.609756097560975
[4],ReLU,25,10.0,64,61.951219512195124
[4],ReLU,25,10.0,128,64.8780487804878
[4],ReLU,25,10.0,256,57.5609756097561
[4],ReLU,25,10.0,512,75.1219512195122
[4],ReLU,25,1.0,16,51.707317073170735
[4],ReLU,25,1.0,32,70.73170731707317
[4],ReLU,25,1.0,64,84.39024390243902
[4],ReLU,25,1.0,128,80.97560975609755
[4],ReLU,25,1.0,256,72.6829268292683
[4],ReLU,25,1.0,512,72.1951219512195
[4],ReLU,25,0.1,16,83.90243902439025
[4],ReLU,25,0.1,32,86.34146341463415
[4],ReLU,25,0.1,64,88.29268292682927
[4],ReLU,25,0.1,128,90.2439024390244
